Date : 2024-10-29 12:06:09
Directory : d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src
Total : 690 files,  215718 codes, 11275 comments, 35175 blanks, all 262168 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Enums\OrderStatus.cs                                                                                                                                                                 | C#            |          8 |          0 |          1 |          9 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Models\Catalog\Category.cs                                                                                                                                                           | C#            |          7 |          0 |          1 |          8 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Models\Catalog\Product.cs                                                                                                                                                            | C#            |         37 |          0 |          8 |         45 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Models\Catalog\ProductImage.cs                                                                                                                                                       | C#            |          9 |          0 |          1 |         10 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Models\ErrorViewModel.cs                                                                                                                                                             | C#            |          6 |          0 |          2 |          8 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Models\Promotion\Coupon.cs                                                                                                                                                           | C#            |          9 |          0 |          1 |         10 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Models\Promotion\CouponType.cs                                                                                                                                                       | C#            |          6 |          0 |          1 |          7 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Models\Purchasing\Order.cs                                                                                                                                                           | C#            |         15 |          0 |          4 |         19 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Models\Purchasing\OrderItem.cs                                                                                                                                                       | C#            |         17 |          0 |          3 |         20 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Models\Purchasing\Product.cs                                                                                                                                                         | C#            |          7 |          0 |          1 |          8 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Program.cs                                                                                                                                                                           | C#            |         16 |          3 |          8 |         27 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Properties\launchSettings.json                                                                                                                                                       | JSON          |         38 |          0 |          1 |         39 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Services\ICatalogService.cs                                                                                                                                                          | C#            |         18 |          0 |          6 |         24 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Shoep.Management.csproj                                                                                                                                                              | XML           |         15 |          0 |          4 |         19 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\Coupon\Create.cshtml                                                                                                                                                           | ASP.NET Razor |         48 |          0 |          5 |         53 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\Coupon\Details.cshtml                                                                                                                                                          | ASP.NET Razor |         48 |          0 |          3 |         51 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\Coupon\Edit.cshtml                                                                                                                                                             | ASP.NET Razor |         48 |          0 |          5 |         53 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\Coupon\Index.cshtml                                                                                                                                                            | ASP.NET Razor |         66 |          0 |          3 |         69 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\Home\Index.cshtml                                                                                                                                                              | ASP.NET Razor |          7 |          0 |          1 |          8 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\Home\Privacy.cshtml                                                                                                                                                            | ASP.NET Razor |          5 |          0 |          1 |          6 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\Order\Details.cshtml                                                                                                                                                           | ASP.NET Razor |         42 |          0 |          3 |         45 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\Order\Index.cshtml                                                                                                                                                             | ASP.NET Razor |         60 |          0 |          3 |         63 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\Product\Create.cshtml                                                                                                                                                          | ASP.NET Razor |         51 |          0 |         10 |         61 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\Product\Delete.cshtml                                                                                                                                                          | ASP.NET Razor |         41 |          0 |          4 |         45 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\Product\Details.cshtml                                                                                                                                                         | ASP.NET Razor |         27 |          0 |          4 |         31 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\Product\Edit.cshtml                                                                                                                                                            | ASP.NET Razor |         54 |          1 |         11 |         66 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\Product\Index.cshtml                                                                                                                                                           | ASP.NET Razor |         57 |          0 |          5 |         62 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\Shared\Error.cshtml                                                                                                                                                            | ASP.NET Razor |         22 |          0 |          3 |         25 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\Shared\_Layout.cshtml                                                                                                                                                          | ASP.NET Razor |         48 |          0 |          1 |         49 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\Shared\_Layout.cshtml.css                                                                                                                                                      | CSS           |         38 |          2 |         10 |         50 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\Shared\_ValidationScriptsPartial.cshtml                                                                                                                                        | ASP.NET Razor |          2 |          0 |          0 |          2 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\_ViewImports.cshtml                                                                                                                                                            | ASP.NET Razor |          3 |          0 |          0 |          3 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\Views\_ViewStart.cshtml                                                                                                                                                              | ASP.NET Razor |          3 |          0 |          0 |          3 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\appsettings.Development.json                                                                                                                                                         | JSON          |          8 |          0 |          1 |          9 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\appsettings.json                                                                                                                                                                     | JSON          |          9 |          0 |          1 |         10 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\bin\Debug\net8.0\Shoep.Management.deps.json                                                                                                                                          | JSON          |      2,550 |          0 |          0 |      2,550 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\bin\Debug\net8.0\Shoep.Management.runtimeconfig.json                                                                                                                                 | JSON          |         19 |          0 |          0 |         19 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\bin\Debug\net8.0\Shoep.Management.staticwebassets.runtime.json                                                                                                                       | JSON          |          1 |          0 |          0 |          1 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\bin\Debug\net8.0\appsettings.Development.json                                                                                                                                        | JSON          |          8 |          0 |          1 |          9 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\bin\Debug\net8.0\appsettings.json                                                                                                                                                    | JSON          |          9 |          0 |          1 |         10 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs                                                                                                                      | C#            |          3 |          1 |          1 |          5 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Debug\net8.0\Shoep.Management.AssemblyInfo.cs                                                                                                                                    | C#            |          9 |          9 |          5 |         23 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Debug\net8.0\Shoep.Management.GeneratedMSBuildEditorConfig.editorconfig                                                                                                          | Properties    |         82 |          0 |         19 |        101 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Debug\net8.0\Shoep.Management.GlobalUsings.g.cs                                                                                                                                  | C#            |         16 |          1 |          1 |         18 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Debug\net8.0\Shoep.Management.RazorAssemblyInfo.cs                                                                                                                               | C#            |          4 |          9 |          5 |         18 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Debug\net8.0\Shoep.Management.sourcelink.json                                                                                                                                    | JSON          |          1 |          0 |          0 |          1 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Debug\net8.0\scopedcss\Views\Shared\_Layout.cshtml.rz.scp.css                                                                                                                    | CSS           |         38 |          2 |          9 |         49 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Debug\net8.0\scopedcss\bundle\Shoep.Management.styles.css                                                                                                                        | CSS           |         38 |          3 |          9 |         50 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Debug\net8.0\scopedcss\projectbundle\Shoep.Management.bundle.scp.css                                                                                                             | CSS           |         38 |          3 |          9 |         50 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Debug\net8.0\staticwebassets.build.json                                                                                                                                          | JSON          |      1,198 |          0 |          0 |      1,198 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Debug\net8.0\staticwebassets.development.json                                                                                                                                    | JSON          |          1 |          0 |          0 |          1 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Debug\net8.0\staticwebassets.pack.json                                                                                                                                           | JSON          |        265 |          0 |          0 |        265 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Debug\net8.0\staticwebassets\msbuild.Shoep.Management.Microsoft.AspNetCore.StaticWebAssets.props                                                                                 | XML           |        980 |          0 |          0 |        980 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Debug\net8.0\staticwebassets\msbuild.build.Shoep.Management.props                                                                                                                | XML           |          3 |          0 |          0 |          3 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Debug\net8.0\staticwebassets\msbuild.buildMultiTargeting.Shoep.Management.props                                                                                                  | XML           |          3 |          0 |          0 |          3 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Debug\net8.0\staticwebassets\msbuild.buildTransitive.Shoep.Management.props                                                                                                      | XML           |          3 |          0 |          0 |          3 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Shoep.Management.csproj.nuget.dgspec.json                                                                                                                                        | JSON          |         94 |          0 |          0 |         94 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Shoep.Management.csproj.nuget.g.props                                                                                                                                            | XML           |         23 |          0 |          0 |         23 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\Shoep.Management.csproj.nuget.g.targets                                                                                                                                          | XML           |         11 |          0 |          0 |         11 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\project.assets.json                                                                                                                                                              | JSON          |      6,501 |          0 |          0 |      6,501 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\obj\project.packagespec.json                                                                                                                                                         | JSON          |          1 |          0 |          0 |          1 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\css\site.css                                                                                                                                                                 | CSS           |         18 |          0 |          4 |         22 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\js\site.js                                                                                                                                                                   | JavaScript    |          0 |          3 |          2 |          5 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.css                                                                                                                                    | CSS           |      3,855 |          7 |      1,151 |      5,013 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.min.css                                                                                                                                | CSS           |          1 |          6 |          0 |          7 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.rtl.css                                                                                                                                | CSS           |      3,855 |          7 |      1,151 |      5,013 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.rtl.min.css                                                                                                                            | CSS           |          1 |          6 |          0 |          7 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.css                                                                                                                                  | CSS           |        347 |         16 |         76 |        439 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.min.css                                                                                                                              | CSS           |          1 |          7 |          0 |          8 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.rtl.css                                                                                                                              | CSS           |        353 |          8 |         77 |        438 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.rtl.min.css                                                                                                                          | CSS           |          1 |          7 |          0 |          8 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.css                                                                                                                               | CSS           |      3,729 |          9 |      1,149 |      4,887 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.min.css                                                                                                                           | CSS           |          1 |          6 |          0 |          7 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.rtl.css                                                                                                                           | CSS           |      3,725 |          7 |      1,148 |      4,880 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.rtl.min.css                                                                                                                       | CSS           |          1 |          6 |          0 |          7 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\css\bootstrap.css                                                                                                                                         | CSS           |      9,453 |         27 |      2,354 |     11,834 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\css\bootstrap.min.css                                                                                                                                     | CSS           |          2 |          5 |          0 |          7 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\css\bootstrap.rtl.css                                                                                                                                     | CSS           |      9,455 |          7 |      2,354 |     11,816 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\css\bootstrap.rtl.min.css                                                                                                                                 | CSS           |          2 |          5 |          0 |          7 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\js\bootstrap.bundle.js                                                                                                                                    | JavaScript    |      4,867 |        584 |      1,344 |      6,795 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\js\bootstrap.bundle.min.js                                                                                                                                | JavaScript    |          1 |          6 |          0 |          7 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\js\bootstrap.esm.js                                                                                                                                       | JavaScript    |      3,436 |        495 |      1,054 |      4,985 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\js\bootstrap.esm.min.js                                                                                                                                   | JavaScript    |          1 |          6 |          0 |          7 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\js\bootstrap.js                                                                                                                                           | JavaScript    |      3,476 |        501 |      1,058 |      5,035 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\bootstrap\dist\js\bootstrap.min.js                                                                                                                                       | JavaScript    |          1 |          6 |          0 |          7 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\jquery-validation-unobtrusive\jquery.validate.unobtrusive.js                                                                                                             | JavaScript    |        302 |         76 |         54 |        432 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\jquery-validation-unobtrusive\jquery.validate.unobtrusive.min.js                                                                                                         | JavaScript    |          1 |          7 |          0 |          8 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\jquery-validation\LICENSE.md                                                                                                                                             | Markdown      |         18 |          0 |          5 |         23 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\jquery-validation\dist\additional-methods.js                                                                                                                             | JavaScript    |        867 |        443 |        202 |      1,512 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\jquery-validation\dist\additional-methods.min.js                                                                                                                         | JavaScript    |          1 |          3 |          0 |          4 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\jquery-validation\dist\jquery.validate.js                                                                                                                                | JavaScript    |      1,227 |        189 |        245 |      1,661 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\jquery-validation\dist\jquery.validate.min.js                                                                                                                            | JavaScript    |          1 |          3 |          0 |          4 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\jquery\dist\jquery.js                                                                                                                                                    | JavaScript    |      6,907 |      1,911 |      2,030 |     10,848 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Management\wwwroot\lib\jquery\dist\jquery.min.js                                                                                                                                                | JavaScript    |          1 |          1 |          1 |          3 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Models\Basket\CartCheckoutModel.cs                                                                                                                                                         | C#            |         21 |          2 |          5 |         28 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Models\Basket\CartModel.cs                                                                                                                                                                 | C#            |         18 |          0 |          6 |         24 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Models\Catalog\CategoryModel.cs                                                                                                                                                            | C#            |          7 |          0 |          1 |          8 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Models\Catalog\ProductModel.cs                                                                                                                                                             | C#            |         20 |          0 |          4 |         24 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Models\Purchasing\OrderModel.cs                                                                                                                                                            | C#            |         30 |          1 |          8 |         39 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Models\Purchasing\PaginatedResult.cs                                                                                                                                                       | C#            |          9 |          0 |          1 |         10 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\Checkout.cshtml                                                                                                                                                                      | ASP.NET Razor |        120 |          0 |          2 |        122 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\Checkout.cshtml.cs                                                                                                                                                                   | C#            |         39 |          1 |         10 |         50 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\Confirmation.cshtml                                                                                                                                                                  | ASP.NET Razor |        167 |          0 |          1 |        168 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\Confirmation.cshtml.cs                                                                                                                                                               | C#            |          8 |          0 |          2 |         10 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\Error.cshtml                                                                                                                                                                         | ASP.NET Razor |         23 |          0 |          3 |         26 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\Error.cshtml.cs                                                                                                                                                                      | C#            |         20 |          0 |          6 |         26 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\Index.cshtml                                                                                                                                                                         | ASP.NET Razor |      1,029 |          0 |         18 |      1,047 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\Index.cshtml.cs                                                                                                                                                                      | C#            |         13 |          0 |          4 |         17 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\Privacy.cshtml                                                                                                                                                                       | ASP.NET Razor |          7 |          0 |          1 |          8 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\Privacy.cshtml.cs                                                                                                                                                                    | C#            |         13 |          0 |          4 |         17 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\ProductDetail.cshtml                                                                                                                                                                 | ASP.NET Razor |        192 |          0 |          2 |        194 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\ProductDetail.cshtml.cs                                                                                                                                                              | C#            |         24 |          0 |          3 |         27 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\ProductList.cshtml                                                                                                                                                                   | ASP.NET Razor |        271 |          0 |         20 |        291 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\ProductList.cshtml.cs                                                                                                                                                                | C#            |         33 |          0 |          4 |         37 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\Shared\_Layout.cshtml                                                                                                                                                                | ASP.NET Razor |        186 |          6 |         11 |        203 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\Shared\_Layout.cshtml.css                                                                                                                                                            | CSS           |         38 |          2 |         10 |         50 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\Shared\_ValidationScriptsPartial.cshtml                                                                                                                                              | ASP.NET Razor |          2 |          0 |          0 |          2 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\ShoppingCart.cshtml                                                                                                                                                                  | ASP.NET Razor |        143 |          0 |         11 |        154 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\ShoppingCart.cshtml.cs                                                                                                                                                               | C#            |         50 |          0 |         10 |         60 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\Tracking.cshtml                                                                                                                                                                      | ASP.NET Razor |         42 |          0 |          1 |         43 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\Tracking.cshtml.cs                                                                                                                                                                   | C#            |          8 |          0 |          2 |         10 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\_ViewImports.cshtml                                                                                                                                                                  | ASP.NET Razor |          3 |          0 |          0 |          3 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Pages\_ViewStart.cshtml                                                                                                                                                                    | ASP.NET Razor |          3 |          0 |          0 |          3 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Program.cs                                                                                                                                                                                 | C#            |         52 |          2 |         13 |         67 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Properties\launchSettings.json                                                                                                                                                             | JSON          |         38 |          0 |          1 |         39 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Services\IBasketService.cs                                                                                                                                                                 | C#            |         34 |          0 |          8 |         42 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Services\ICatalogService.cs                                                                                                                                                                | C#            |         12 |          0 |          3 |         15 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\Shoep.Shop.csproj                                                                                                                                                                          | XML           |         14 |          0 |          4 |         18 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\appsettings.Development.json                                                                                                                                                               | JSON          |          9 |          0 |          1 |         10 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\appsettings.json                                                                                                                                                                           | JSON          |         20 |          0 |          1 |         21 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\wwwroot\css\availability-calendar.css                                                                                                                                                      | CSS           |         83 |          6 |         18 |        107 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\wwwroot\css\bootstrap.css                                                                                                                                                                  | CSS           |      8,215 |          7 |      1,769 |      9,991 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\wwwroot\css\font-awesome.min.css                                                                                                                                                           | CSS           |          1 |          3 |          1 |          5 |
| d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\WebApp\Shoep.Shop\wwwroot\css\ion.rangeSlider.css                                                                                                                                                            | CSS           |        153 |          6 |         32 |        191 |
